Urządzenie,Kliknięcia,Wyświetlenia,CTR,Pozycja
Urządzenie mobilne,1003,7191,13.95%,5.35
Wersja na komputery,355,10387,3.42%,8.39
Tablet,12,166,7.23%,7.02
