Przyczyna,Źródło,Weryfikacja,Strony
Strona zawiera przekierowanie,Strona internetowa,Nie rozpoczęto,6
Strona wykluczona za pomocą tagu „noindex”,Strona internetowa,Nie rozpoczęto,3
Nie znaleziono (404),Strona internetowa,Nie rozpoczęto,2
"Strona zeskanowana, ale jeszcze nie zindeksowana",Systemy Google,Nie rozpoczęto,6
Strona wykryta – obecnie niezindeksowana,Systemy Google,Nie rozpoczęto,1
Alternatywna strona zawierająca prawidłowy tag strony kanonicznej,Strona internetowa,Nie dotyczy,0
